age,female,from,healthy,mild,severe,death
65,0,severe,0.017248774,0.145276478,0.733591586,0.103883163
66,0,severe,0.016144437,0.142659893,0.73614454,0.10505113
67,0,severe,0.015082926,0.14030038,0.738566302,0.106050392
68,0,severe,0.014064741,0.138159301,0.740838994,0.106936964
69,0,severe,0.013090147,0.136200126,0.742940868,0.107768859
70,0,severe,0.01215921,0.134388146,0.744846947,0.108605697
71,0,severe,0.011271819,0.132690196,0.746529382,0.109508603
72,0,severe,0.010427704,0.131074398,0.74795751,0.110540388
73,0,severe,0.009626442,0.129509918,0.7490976,0.11176604
74,0,severe,0.008867465,0.127966734,0.749912276,0.113253524
75,0,severe,0.008150068,0.126415419,0.750359605,0.115074908
76,0,severe,0.007473784,0.124830679,0.750395564,0.117299974
77,0,severe,0.00683927,0.123202259,0.749985193,0.119973278
78,0,severe,0.006246831,0.121523333,0.749092671,0.123137165
79,0,severe,0.005696102,0.119786637,0.747677072,0.126840189
80,0,severe,0.005186171,0.117984376,0.745691462,0.131137991
81,0,severe,0.004715686,0.116108144,0.743081919,0.13609425
82,0,severe,0.004282957,0.114148834,0.739786482,0.141781726
83,0,severe,0.003886046,0.112096558,0.735734033,0.148283363
84,0,severe,0.003522846,0.109940573,0.730843155,0.155693426
85,0,severe,0.00319115,0.107669233,0.725020998,0.164118618
86,0,severe,0.002889257,0.105271328,0.718172292,0.173667123
87,0,severe,0.002617276,0.102740707,0.710233103,0.184408914
88,0,severe,0.002374945,0.100073263,0.701149056,0.196402736
89,0,severe,0.002161275,0.097266047,0.690868642,0.209704036
90,0,severe,0.001974817,0.094317667,0.679346059,0.224361457
91,0,severe,0.001813885,0.091228721,0.666544491,0.240412903
92,0,severe,0.001676728,0.088002231,0.652439747,0.257881295
93,0,severe,0.001561672,0.084644055,0.63702411,0.276770164
94,0,severe,0.001467229,0.081163248,0.620310163,0.29705936
95,0,severe,0.001392189,0.077572323,0.602334312,0.318701176
96,0,severe,0.001335703,0.073887367,0.58315965,0.341617281
97,0,severe,0.001297363,0.070127986,0.562877823,0.365696827
98,0,severe,0.001277307,0.066317041,0.541609537,0.390796115
99,0,severe,0.001276348,0.062480155,0.519503443,0.416740053
100,0,severe,0.001296162,0.058645016,0.496733283,0.44332554
101,0,severe,0.001339557,0.054840488,0.473493288,0.470326666
102,0,severe,0.001410893,0.051095608,0.44999207,0.497501429
103,0,severe,0.001516692,0.047438513,0.426445382,0.524599413
104,0,severe,0.00166661,0.043895401,0.403068261,0.551369729
105,0,severe,0.001874938,0.040489595,0.380067124,0.577568342
106,0,severe,0.002163008,0.037240777,0.357632362,0.602963853
107,0,severe,0.002563088,0.034164421,0.335931825,0.627340666
108,0,severe,0.00312485,0.031271451,0.315105382,0.650498317
